Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B2,FALSE,23-10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,77.543,,,
15,B3,FALSE,23-10,Mcav,UNKNOWN,SYBR,None,24.658,24.553,0.149,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.839,N,N,N,N,N,75.204,,,
16,B4,FALSE,23-10,C,UNKNOWN,VIC,NFQ-MGB,26.462,26.150,0.441,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.932,N,N,N,N,N,0.000,,,
16,B4,FALSE,23-10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,73.011,,,
17,B5,FALSE,20-04,Mcav,UNKNOWN,SYBR,None,23.428,22.708,1.017,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.909,N,N,Y,N,N,75.058,,,
18,B6,FALSE,20-04,C,UNKNOWN,VIC,NFQ-MGB,26.405,26.094,0.439,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.932,N,N,N,N,N,0.000,,,
18,B6,FALSE,20-04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,76.812,,,
19,B7,FALSE,20-04,Mcav,UNKNOWN,SYBR,None,21.989,22.708,1.017,,,,,,,,FALSE,0.020,TRUE,3,20,Amp,,0.794,Y,N,Y,N,N,75.496,,,
20,B8,FALSE,20-04,C,UNKNOWN,VIC,NFQ-MGB,25.784,26.094,0.439,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.929,N,N,N,N,N,0.000,,,
20,B8,FALSE,20-04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,Y,75.204,,,
21,B9,FALSE,22-40,Mcav,UNKNOWN,SYBR,None,23.546,23.560,0.021,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.805,N,N,N,N,N,75.204,,,
