	Mc17-25.fq.trim.sam.counts	Mc17-33.fq.trim.sam.counts	Mc17-40.fq.trim.sam.counts	Mc17-66.fq.trim.sam.counts	Mc20-01.fq.trim.sam.counts	Mc20-04.fq.trim.sam.counts	Mc20-05.fq.trim.sam.counts	Mc20-08.fq.trim.sam.counts	Mc20-12.fq.trim.sam.counts	Mc20-14.fq.trim.sam.counts	Mc20-15.fq.trim.sam.counts	Mc20-18.fq.trim.sam.counts	Mc20-20.fq.trim.sam.counts	Mc20-21.fq.trim.sam.counts	Mc20-22.fq.trim.sam.counts	Mc20-24.fq.trim.sam.counts	Mc20-27.fq.trim.sam.counts	Mc20-33.fq.trim.sam.counts	Mc21-05.fq.trim.sam.counts	Mc21-08.fq.trim.sam.counts	Mc21-19.fq.trim.sam.counts	Mc21-20.fq.trim.sam.counts	Mc22-01.fq.trim.sam.counts	Mc22-03.fq.trim.sam.counts	Mc22-07.fq.trim.sam.counts	Mc22-08.fq.trim.sam.counts	Mc22-09.fq.trim.sam.counts	Mc22-12.fq.trim.sam.counts	Mc22-13.fq.trim.sam.counts	Mc22-16.fq.trim.sam.counts	Mc22-18.fq.trim.sam.counts	Mc22-20.fq.trim.sam.counts	Mc22-23.fq.trim.sam.counts	Mc22-24.fq.trim.sam.counts	Mc22-27.fq.trim.sam.counts	Mc22-40.fq.trim.sam.counts	Mc23-02.fq.trim.sam.counts	Mc23-10.fq.trim.sam.counts	Mc23-12.fq.trim.sam.counts	Mc23-27.fq.trim.sam.counts	Mc25-01.fq.trim.sam.counts	Mc25-07.fq.trim.sam.counts	Mc25-19.fq.trim.sam.counts	Mc25-25.fq.trim.sam.counts	Mc26-04.fq.trim.sam.counts	Mc26-06.fq.trim.sam.counts	Mc26-07.fq.trim.sam.counts	Mc26-09.fq.trim.sam.counts	Mc26-13.fq.trim.sam.counts	Mc26-15.fq.trim.sam.counts	Mc26-17.fq.trim.sam.counts	Mc26-18.fq.trim.sam.counts	Mc26-22.fq.trim.sam.counts	Mc26-23.fq.trim.sam.counts	Mc26-24.fq.trim.sam.counts	Mc26-25.fq.trim.sam.counts	Mc26-28.fq.trim.sam.counts	Mc26-30.fq.trim.sam.counts	Mc28-18.fq.trim.sam.counts	Mc28-19.fq.trim.sam.counts	Mc28-27.fq.trim.sam.counts	Mc28-40.fq.trim.sam.counts	Mc29-04.fq.trim.sam.counts	Mc29-06.fq.trim.sam.counts	Mc29-18.fq.trim.sam.counts	Mc29-27.fq.trim.sam.counts	
Mcavernosa17232	2	1	0	2	0	2	6	4	0	0	0	2	0	0	1	0	0	0	0	2	3	3	0	0	3	0	3	4	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	5	4	2	
Mcavernosa17235	17	24	17	10	2	10	116	41	21	9	3	9	2	27	12	0	5	9	6	15	10	20	1	7	10	13	6	8	3	13	4	4	1	4	0	4	2	13	3	14	1	1	8	8	4	0	4	5	81	5	19	3	5	0	8	0	3	6	15	14	11	3	16	14	5	8	
Mcavernosa17236	22	33	2	29	3	44	168	60	0	11	10	8	2	11	19	4	8	19	25	17	9	28	0	0	17	3	35	16	0	0	6	3	5	3	8	2	1	19	11	24	2	0	1	0	14	2	15	22	0	0	11	34	7	7	6	5	8	0	13	6	26	3	26	45	14	22	
Mcavernosa17238	1	3	0	0	0	1	5	2	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	2	
Mcavernosa17239	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Mcavernosa17240	1	1	0	0	0	3	6	0	0	0	0	1	4	0	0	0	0	0	1	1	0	5	0	0	3	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	17	1	0	0	0	5	3	0	0	1	0	0	
Mcavernosa17241	22	41	11	20	1	12	103	6	0	12	0	2	1	3	15	0	0	5	6	26	15	29	0	1	13	4	10	59	0	0	17	3	3	0	4	0	0	23	0	0	0	0	0	0	6	0	15	7	5	0	0	3	4	1	0	17	0	0	16	17	18	0	12	28	9	12	
Mcavernosa17242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	
Mcavernosa17244	4	2	1	1	0	6	25	8	0	0	0	1	0	0	7	0	0	3	1	9	1	4	0	0	1	0	5	1	8	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	6	0	0	1	15	0	0	0	0	0	0	1	3	4	0	3	5	1	0	
Mcavernosa17245	9	10	0	6	2	4	43	27	0	6	2	3	0	4	8	15	3	10	3	9	4	14	2	0	5	5	4	8	0	0	2	1	0	0	0	0	0	15	1	5	1	0	3	0	4	0	2	25	2	1	0	4	0	0	1	4	3	0	7	8	21	0	3	14	9	5	
Mcavernosa17246	1	3	0	0	0	1	8	2	0	0	0	1	0	1	0	0	0	1	0	2	1	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	0	0	0	0	0	1	0	1	0	0	0	0	2	
Mcavernosa17249	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Mcavernosa17250	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	
Mcavernosa17252	4	5	2	2	0	1	4	7	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	4	0	1	
Mcavernosa17253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17254	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
Mcavernosa17261	4	1	0	1	0	3	9	5	0	1	0	0	0	0	1	0	0	0	0	0	2	4	0	0	3	1	5	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	2	
Mcavernosa17262	11	15	7	5	0	10	89	10	0	6	4	1	1	10	11	4	4	9	10	7	7	28	2	2	12	2	10	11	3	2	9	5	3	3	6	0	6	26	14	3	1	1	4	0	5	3	10	3	0	6	7	12	2	3	8	7	3	2	5	10	2	1	3	15	12	7	
Mcavernosa17264	1	2	1	0	0	1	13	4	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	
Mcavernosa17265	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
Mcavernosa17268	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17269	6	10	0	12	0	4	17	3	0	3	0	0	0	0	2	0	0	1	0	11	8	8	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	30	0	0	0	0	0	0	3	2	0	4	2	5	5	4	4	
Mcavernosa17270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Mcavernosa17271	9	9	0	13	0	7	44	15	0	6	1	2	0	6	11	4	0	4	3	13	8	10	5	0	9	0	5	8	0	0	0	3	1	0	3	0	0	9	3	0	0	0	0	0	1	3	4	3	0	0	0	1	1	0	0	4	0	0	3	3	8	2	9	10	11	12	
Mcavernosa17273	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17274	28	28	0	10	0	21	131	13	0	13	3	6	0	2	13	0	0	15	5	14	14	31	0	0	8	0	4	15	1	1	5	4	0	2	5	0	3	19	7	0	0	0	2	0	7	1	6	3	0	0	0	14	6	2	3	6	0	1	12	6	12	1	25	17	13	16	
Mcavernosa17276	1	8	0	0	0	4	17	6	0	0	0	3	0	0	0	0	0	1	6	4	7	8	0	0	8	0	0	2	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	13	0	0	2	0	0	0	2	0	0	8	0	5	0	4	7	4	1	
Mcavernosa17278	2	3	0	0	0	4	39	4	0	0	0	0	0	1	2	0	0	0	1	5	0	7	0	0	0	0	1	2	0	0	0	0	0	0	3	0	2	0	5	0	0	0	0	0	2	0	4	0	1	0	0	3	2	2	0	2	0	0	2	0	1	1	2	2	2	4	
Mcavernosa17279	1149	306	1446	2366	2157	610	3151	219	2940	2328	1464	736	1522	3817	901	2680	3141	1117	249	298	1572	448	1241	903	4058	1343	1089	218	3080	3473	1106	598	487	1540	1788	1431	10926	192	2841	2770	573	1955	13343	2086	208	2841	3263	1432	7250	6555	3544	2866	1512	2073	3121	825	7251	16580	1271	3490	273	2307	222	143	459	217	
Mcavernosa17280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa17282	3	5	0	0	1	4	7	2	0	0	0	0	2	0	0	0	0	1	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	1	1	1	0	2	5	0	6	
Mcavernosa17287	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	
Mcavernosa17289	1	3	0	2	1	2	23	15	0	3	0	0	0	10	0	0	0	1	0	3	1	6	0	0	4	0	3	6	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	3	0	9	0	0	0	0	0	0	2	0	0	0	0	0	5	3	0	5	2	1	1	
Mcavernosa17290	4	10	0	1	0	5	24	17	1	0	1	4	0	4	5	0	1	14	2	8	9	8	0	2	8	3	8	6	1	5	8	4	4	2	9	3	0	2	5	0	2	0	2	1	3	22	3	2	2	0	7	1	3	0	0	0	0	6	0	12	5	0	8	4	0	3	
Mcavernosa17291	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
Mcavernosa17292	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa17293	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17294	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa17304	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	
Mcavernosa17305	5	4	0	2	0	2	35	8	0	1	0	1	0	0	1	1	0	8	2	2	1	8	1	0	5	0	4	5	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	1	1	2	0	0	0	0	3	1	0	0	0	0	0	0	0	3	0	2	8	1	7	
Mcavernosa17308	4	11	1	0	0	6	42	19	0	0	0	2	0	0	3	0	0	5	1	7	3	15	16	1	0	0	0	7	0	0	3	2	0	0	0	0	0	5	0	0	0	0	1	0	3	0	0	8	0	0	0	2	1	0	2	1	0	0	0	2	5	0	4	8	1	5	
Mcavernosa17309	2	0	0	1	0	2	4	0	0	2	1	1	0	0	0	0	1	0	2	3	0	2	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	2	0	
Mcavernosa17310	1	2	0	1	0	1	3	0	0	1	0	1	0	0	0	0	0	2	2	5	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	1	
Mcavernosa17312	9	15	0	6	0	4	15	8	0	3	0	0	0	0	6	0	0	4	4	7	3	9	0	0	2	0	0	6	0	0	4	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	5	0	0	0	0	3	2	0	0	1	0	0	0	3	2	0	1	6	6	5	
Mcavernosa17313	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Mcavernosa17315	12	19	5	4	1	15	62	13	0	3	4	1	0	6	4	0	0	7	9	17	6	15	0	0	15	0	2	7	0	0	7	1	3	0	1	0	0	9	0	1	0	0	0	0	2	0	3	0	0	0	0	6	2	0	1	3	0	0	11	4	5	0	22	14	8	11	
Mcavernosa17316	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Mcavernosa17322	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17323	1	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	3	8	
Mcavernosa17328	6	16	1	6	0	3	48	0	0	0	0	2	0	0	0	1	0	0	1	13	1	19	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	3	8	4	0	0	0	0	7	0	1	0	0	0	0	0	6	0	0	0	0	2	0	7	0	0	2	8	3	9	
Mcavernosa17329	0	2	0	1	3	4	6	18	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mcavernosa17336	172	190	30	126	4	115	540	100	2	20	4	79	2	4	41	28	0	53	15	136	83	202	0	4	84	10	46	99	2	34	27	3	1	12	21	0	18	18	20	3	2	3	13	1	18	0	46	10	4	0	23	38	30	15	1	17	0	1	73	53	107	1	163	138	64	178	
Mcavernosa17337	13	15	1	22	0	13	36	2	0	4	0	2	0	3	4	0	0	14	5	12	5	19	0	0	6	0	1	6	8	0	11	11	3	0	0	0	0	2	8	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	1	0	0	12	4	12	0	8	14	11	6	
Mcavernosa17340	402	446	268	344	77	376	2290	168	28	437	205	298	127	187	252	10	57	293	195	357	376	422	23	7	500	46	486	284	16	11	406	238	36	80	120	12	36	148	241	113	9	14	22	5	133	23	290	113	174	48	172	356	338	109	138	169	67	15	315	339	315	68	310	428	298	439	
Mcavernosa17342	2	4	4	5	0	7	25	6	0	2	3	5	0	0	4	0	1	4	3	3	1	6	11	0	0	0	30	4	9	0	0	0	2	1	25	7	10	5	0	0	0	2	2	0	3	16	4	0	6	0	62	3	0	0	77	3	11	11	5	7	3	0	2	1	2	4	
Mcavernosa17343	4	4	0	1	0	0	4	2	0	0	0	1	0	0	0	0	0	1	0	2	1	2	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	
Mcavernosa17346	66	41	2	37	4	33	169	145	0	7	7	4	0	6	20	2	1	32	20	31	13	38	1	0	43	0	10	17	0	0	7	7	1	1	5	0	0	41	8	21	2	0	7	0	14	0	10	37	0	0	9	9	3	2	5	10	1	2	13	18	32	1	46	21	34	47	
Mcavernosa17347	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17348	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	
Mcavernosa17349	6	8	1	3	0	2	29	4	0	0	0	0	0	0	0	0	0	0	1	5	1	12	0	0	1	0	2	3	0	0	2	0	0	2	0	0	2	6	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	2	0	0	0	2	1	0	3	4	1	3	
Mcavernosa17351	4	3	0	5	3	6	18	13	0	8	0	0	0	0	9	0	0	2	1	3	5	4	0	0	0	0	2	6	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	4	2	0	0	4	4	2	0	0	1	0	0	0	2	2	1	2	1	0	5	
Mcavernosa17352	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	
Mcavernosa17353	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	
Mcavernosa17354	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	
Mcavernosa17355	3	1	0	0	0	0	1	3	0	1	0	2	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	
Mcavernosa17356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Mcavernosa17357	2	2	0	0	0	2	3	6	0	1	0	0	0	0	2	0	0	2	0	3	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	2	2	0	0	1	0	1	
Mcavernosa17358	2	5	0	2	3	4	6	2	0	0	0	0	0	0	2	0	0	0	2	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	3	5	3	0	
Mcavernosa17359	5	6	0	4	0	8	14	0	0	1	0	2	0	0	2	0	0	3	0	6	0	10	0	0	0	0	0	2	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	4	3	1	
Mcavernosa17360	1	2	0	2	0	9	15	0	0	0	4	3	0	1	8	0	0	1	0	1	0	3	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	1	0	7	2	0	0	0	2	0	1	0	0	0	0	1	1	3	0	4	3	0	1	
Mcavernosa17362	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
Mcavernosa17364	5	5	0	4	0	1	13	4	0	1	0	0	0	0	4	0	0	4	0	0	0	6	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	3	3	0	1	0	0	0	0	2	2	2	0	2	3	1	2	
Mcavernosa17365	12	18	8	4	0	8	41	13	0	4	0	4	0	0	5	0	0	5	6	15	1	18	0	0	1	0	13	10	0	0	6	0	0	0	0	0	0	4	4	1	0	0	0	0	0	0	10	0	0	0	0	4	1	0	9	1	0	0	4	1	6	0	5	17	3	10	
Mcavernosa17367	3	10	8	5	0	18	30	1	0	0	1	2	0	0	6	0	0	5	5	9	4	7	1	1	10	0	8	11	1	0	0	0	0	0	1	0	0	3	3	0	0	0	1	0	3	0	2	0	1	0	1	1	12	0	1	0	7	1	1	4	0	0	6	6	7	4	
Mcavernosa17369	9	10	5	2	0	5	26	0	0	1	0	0	0	8	4	0	0	0	0	3	1	13	0	0	2	0	4	3	1	0	0	3	0	0	0	0	0	5	1	0	0	0	0	0	0	0	1	0	1	0	0	7	0	0	1	0	0	0	2	4	2	0	8	4	1	2	
Mcavernosa17372	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa17373	7	5	0	2	0	1	9	0	0	1	0	0	0	1	0	0	0	0	1	4	2	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	5	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	41	0	1	0	0	0	0	2	0	2	3	2	2	
Mcavernosa17374	2	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	
Mcavernosa17375	0	1	0	0	0	0	5	2	0	0	0	0	1	0	2	0	0	2	0	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
Mcavernosa17376	0	0	1	0	0	1	2	5	0	2	1	0	0	0	3	0	0	0	0	0	0	8	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	
Mcavernosa17377	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	5	5	0	0	1	0	0	0	0	0	0	0	4	1	0	
Mcavernosa17380	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	1	2	0	0	
Mcavernosa17381	3	4	0	4	0	4	4	9	0	1	0	1	0	0	3	0	0	11	0	4	4	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	3	0	0	0	2	3	0	0	0	0	0	0	6	8	0	6	5	1	5	
Mcavernosa17382	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	
Mcavernosa17383	3	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	0	1	0	2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	3	
